,company,count,location
0,Deloitte,6821,
1,IQVIA,3771,
2,PwC,1853,
3,UnitedHealth Group,1825,
4,KPMG,1794,
5,Takeda Pharmaceutical,1,"Madison County, Georgia, US"
6,Deloitte,64,"Denver, Colorado, US"
7,PwC,52,"Denver, Colorado, US"
8,KPMG,38,"Denver, Colorado, US"
9,salesforce.com,30,"Denver, Colorado, US"
10,ICF,28,"Denver, Colorado, US"
11,UnitedHealth Group,83,"San Diego County, California, US"
12,IQVIA,78,"San Diego County, California, US"
13,Deloitte,59,"San Diego County, California, US"
14,Booz Allen Hamilton,41,"San Diego County, California, US"
15,PwC,37,"San Diego County, California, US"
