,Category
0,Accounting
1,Accounting and Finance
2,Account Management
3,Account Management/Customer Success
4,Administration and Office
5,Advertising and Marketing
6,Animal Care
7,Arts
8,Business Operations
9,Cleaning and Facilities
10,Computer and IT
11,Construction
12,Corporate
13,Customer Service
14,Data and Analytics
15,Data Science
16,Design
17,Design and UX
18,Editor
19,Education
20,Energy Generation and Mining
21,Entertainment and Travel Services
22,Farming and Outdoors
23,Food and Hospitality Services
24,Healthcare
25,HR
26,Human Resources and Recruitment
27,"Installation, Maintenance, and Repairs"
28,IT
29,Law
30,Legal Services
31,Management
32,Manufacturing and Warehouse
33,Marketing
34,Mechanic
35,"Media, PR, and Communications"
36,Mental Health
37,Nurses
38,Office Administration
39,Personal Care and Services
40,Physical Assistant
41,Product
42,Product Management
43,Project Management
44,Protective Services
45,Public Relations
46,Real Estate
47,Recruiting
48,Retail
49,Sales
50,Science and Engineering
51,Social Services
52,Software Engineer
53,Software Engineering
54,"Sports, Fitness, and Recreation"
55,Transportation and Logistics
56,Unknown
57,UX
58,Videography
59,Writer
60,Writing and Editing
